object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Квартира,3,11/17,10.1,54.8,73.8,786.0,58000.0,Панель,26/9/2021,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.547441,55.545289000000004,Ск&Comfort,4.16681,Москва,23.43450453929211,new
0,Многоквартирный дом,3,9/22,11.0,53.0,90.0,722.0,65000.0,Монолит,4/12/2021,10/2/2022,2006,0,0,22,0,0,2,Железобетонные,Монолитные,Центральное,Нет,37.823924,55.773175,Оксана,3.8995898,Москва,13.286394874567875,middle
0,Многоквартирный дом,1,6/24,10.0,22.0,43.0,907.0,39000.0,Монолит,5/2/2022,10/2/2022,2004,И-155,0,24,24,Есть,2,Железобетонные,Смешанные,Центральное,Нет,37.696921,55.585871,Анастасия,3.7617623999999994,Москва,19.21517841547869,middle
0,Многоквартирный дом,1,7/10,10.0,20.0,39.0,923.0,36000.0,Панель,8/11/2019,8/2/2022,1995,П-46,0,12,1,Есть,6,Железобетонные,Панельные,Центральное,Нет,37.854746,55.689725,Юлия,3.6790495,Москва,16.563174462231732,old
0,Квартира,2,9/15,8.0,33.0,47.0,2128.0,100000.0,Монолит,7/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.523213,55.79078199999999,ольга,4.127402,Москва,7.212754585999847,new
0,Многоквартирный дом,1,3/9,6.0,20.0,35.0,1143.0,39999.0,Панель,7/12/2021,10/2/2022,1963,II-18,0,9,1,Есть,1,Железобетонные,Панельные,Центральное,Да,37.505676,55.666866000000006,АККАУНТ РАБОЧИЙ,4.0779476,Москва,11.748108268452363,old
0,Квартира,2,4/14,11.0,29.0,51.0,1765.0,89999.0,Монолит,8/1/2022,7/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.5995846861605,55.800554613645104,Андрей,3.7019384,Москва,5.474046159465604,new
0,Многоквартирный дом,2,3/5,6.0,32.0,43.0,1163.0,50000.0,Кирпич,25/7/2018,7/2/2022,1961,I-511,0,5,1,Нет,3,0,Не заполнено,0,0,37.45919,55.722573,Светлана,3.9491657999999994,Москва,10.362191058167001,old
0,Многоквартирный дом,0,6/16,,20.0,32.0,2188.0,70000.0,Монолит,8/2/2022,8/2/2022,2019,Индивидуальный,0,16,5,Есть,5,Железобетонные,Монолитные,Центральное,Нет,37.698609000000005,55.750808,Магазин,3.6490226000000003,Москва,5.217223168104398,new
0,Многоквартирный дом,1,4/9,7.0,21.3,35.0,1000.0,35000.0,Панель,5/1/2022,8/2/2022,1979,I-515,0,9,9,Есть,4,Железобетонные,Монолитные,Центральное,Да,37.714231,55.766405000000006,Натали,3.6490226000000003,Москва,6.392719079473895,old
